flood,exposed (mn),displaced (k),killed,duration(days),cause
2000-09-18,7481712,24000000,1468,33,Heavy rain
2001-07-08,208434,2000000,100,33,Heavy rain
2001-08-20,1701849,300000,65,22,Heavy rain
2001-09-07,250633,30000,146,17,Heavy rain
2002-06-21,7191176,15000000,503,68,Heavy rain
2002-07-07,17,0,0,2,Heavy rain
2002-07-21,16541422,250000,380,25,Heavy rain
2002-08-17,332167,5000,0,18,Heavy rain
2002-09-03,17812,5000,22,3,Heavy rain
2003-02-16,21942,3000,20,6,Heavy rain
2003-06-11,16822143,9500000,600,121,Heavy rain
2003-06-19,231399,20000,55,14,Heavy rain
2003-07-02,1112750,0,0,61,Heavy rain
2003-07-15,3564964,900000,285,48,Heavy rain
2003-08-27,3757250,3000000,67,54,Heavy rain
2004-04-14,1543959,50000,12,19,Heavy rain
2004-06-20,19855086,40000000,3000,109,Heavy rain
2004-07-05,4343195,100000,185,37,Heavy rain
2004-10-07,11965543,100000,210,11,Heavy rain
2005-05-25,1033999,50000,13,3,Heavy rain
2005-06-23,443415,70000,5,7,Heavy rain
2005-06-28,27263,500000,202,17,Heavy rain
2005-07-02,131970,49000,62,13,Heavy rain
2005-07-05,2240223,452000,40,40,Heavy rain
2005-07-07,5365759,3000000,40,20,Heavy rain
2005-07-23,43496,100000,126,24,Heavy rain
2005-08-26,1484596,0,21,4,Heavy rain
2005-09-14,2100902,550000,89,16,Heavy rain
2005-09-16,2066400,0,23,19,Heavy rain
2005-09-22,767227,0,15,19,Heavy rain
2005-09-25,1790981,1600,51,7,Heavy rain
2005-10-03,6010585,100000,19,19,Heavy rain
2005-10-21,544049,3000000,13,7,Heavy rain
2005-10-23,976362,300000,279,47,Heavy rain
2006-04-29,156341,800,21,6,"Tropical Storm, Surge"
2006-05-31,4485860,600000,21,54,Heavy rain
2006-06-24,1788105,0,160,40,Heavy rain
2006-07-04,859713,8400,24,3,Heavy rain
2006-07-24,1431910,0,248,29,Heavy rain
2006-07-28,2075619,140000,457,46,Heavy rain
2006-08-01,2691152,2000000,185,40,Heavy rain
2006-08-24,3898327,0,0,27,Heavy rain
2006-08-26,975071,80000,60,18,Heavy rain
2006-08-29,515933,50000,42,6,Heavy rain
2006-08-31,907392,3000,39,11,Heavy rain
2007-06-11,4536692,80000,126,13,Heavy rain
2007-06-15,2921,400,0,3,Heavy rain
2007-06-18,4055288,200000,15,8,Heavy rain
2007-06-22,41036,200000,127,12,Heavy rain
2007-06-26,53344,400000,280,24,"Tropical Storm, Surge"
2007-06-30,2779386,50000,29,13,Heavy rain
2007-07-01,902,10000,62,5,Heavy rain
2007-07-01,128587,63000,225,12,Heavy rain
2007-07-03,16486188,3000000,958,81,Heavy rain
2007-07-06,588181,3000,0,26,Heavy rain
2007-07-12,21488636,11100000,96,90,Heavy rain
2007-07-18,844212,10000,170,26,Heavy rain
2007-07-21,27712991,5000000,1071,86,Heavy rain
2007-07-23,7110335,86000,185,71,Heavy rain
2007-08-03,2648972,20000,15,24,Heavy rain
2007-08-08,23679,0,12,7,Heavy rain
2007-08-10,19033,0,35,3,Heavy rain
2007-08-12,1188060,15000,76,5,Heavy rain
2007-08-14,1326841,40000,2,51,Heavy rain
2007-09-16,139437,20000,94,21,Heavy rain
2007-09-22,3168098,400000,80,16,Heavy rain
2007-10-17,4006102,30000,2,7,Heavy rain
2007-10-27,313759,50000,29,5,Heavy rain
2007-11-15,5454831,3000000,3447,16,"Tropical Storm, Surge"
2008-05-03,999917,1500000,100000,19,"Tropical Storm, Surge"
2008-05-24,487789,0,0,4,Heavy rain
2008-07-05,6736689,70000,350,9,Heavy rain
2008-07-20,8360801,225000,142,19,Heavy rain
2008-08-05,70475,0,74,6,Heavy rain
2008-08-09,648112,90752,37,11,Heavy rain
2008-08-18,21529060,10000000,400,37,Heavy rain
2008-08-30,5622068,1000000,900,9,Heavy rain
2008-08-30,21631628,600000,0,9,Heavy rain
2008-09-22,8627859,13000,49,7,Heavy rain
2008-09-22,12372235,0,2400,7,Dam
2009-04-20,895134,15000,21,25,Heavy rain
2009-07-03,1282695,0,6,3,Heavy rain
2009-07-03,1625200,700000,20,3,Heavy rain
2009-08-18,2078688,300000,0,9,Heavy rain
2009-09-25,1436091,0,303,17,Heavy rain
2009-10-04,5625697,0,45,8,Heavy rain
2010-03-27,753907,0,104,11,Heavy rain
2010-04-18,8287039,300,0,3,Heavy rain
2010-05-15,2188048,10000,0,42,Heavy rain
2010-05-18,105393,50000,27,6,Heavy rain
2010-06-06,6468,4000,23,1,"Tropical Storm, Surge"
2010-06-15,2199055,0,60,11,Heavy rain
2010-07-01,5396863,600000,0,12,Heavy rain
2010-07-05,918872,523000,98,10,Heavy rain
2010-07-27,7142718,10000000,1750,111,Heavy rain
2010-09-05,3245498,30000,1,12,Heavy rain
2010-09-09,23137894,140000,0,21,Heavy rain
2010-09-18,12414310,15000,88,12,Heavy rain
2010-10-01,19362985,500000,15,11,"Tropical Storm, Surge"
2011-07-21,2131381,10000,6,8,Heavy rain
2011-08-12,2780492,660000,434,81,Heavy rain
2011-08-15,3053616,11000,7,24,Heavy rain
2011-08-15,14830495,70000,158,48,Heavy rain
2011-08-25,297391,5000,0,19,Heavy rain
2011-09-05,5346754,15000,40,27,Heavy rain
2012-08-03,31143,2000,0,3,Heavy rain
2012-08-16,123,210,1,4,Heavy rain
2012-08-23,318230,1200,26,6,Heavy rain
2012-09-10,1778275,742000,400,49,Heavy rain
2012-09-16,15526445,200,45,2,Heavy rain
2012-11-04,755165,70000,40,4,"Tropical Storm, Surge"
2013-08-01,810604,81000,135,6,Heavy rain
2013-08-07,3999133,12000,70,14,Heavy rain
2013-10-12,8398628,0,7,29,Heavy rain
2014-06-23,67358,10000,0,2,Heavy rain
2014-08-11,3497420,4000,31,28,Heavy rain
2014-08-14,3225770,10000,0,25,Heavy rain
2014-08-15,4580588,75000,1,24,Heavy rain
2014-08-20,11058729,500000,17,19,Heavy rain
2014-09-01,4206199,30000,300,40,Heavy rain
2014-09-24,7868742,30000,59,17,Heavy rain
2014-10-12,1964575,0,42,15,"Tropical Storm, Surge"
2015-03-20,359331,2907,44,11,Heavy rain
2015-05-17,147059,200,8,4,Heavy rain
2015-06-02,2658384,9000,3,27,Heavy rain
2015-06-24,27783,9000,81,5,Heavy rain
2015-07-15,2988676,803000,166,35,Heavy rain
2015-07-15,7756830,300000,206,35,"Tropical Storm, Surge"
2015-07-15,536753,85400,88,35,Heavy rain
2015-08-13,5214625,18000,5,29,Heavy rain
2015-11-10,1199024,400000,180,24,"Tropical Storm, Surge"
2016-03-12,572603,2400,121,32,Heavy rain
2016-04-20,1695401,3000,18,11,Heavy rain
2016-06-01,1387481,25000,16,76,Heavy rain
2016-07-07,2000382,15000,20,27,Heavy rain
2016-07-25,18456496,25000,42,32,Heavy rain
2016-08-15,54322,0,0,11,Heavy rain
2017-03-30,2681462,0,0,19,Heavy rain
2017-06-02,1050681,113,6,31,Heavy rain
2017-07-27,1558838,47000,39,14,Heavy rain
2017-08-10,4982993,422106,253,16,Heavy rain
2017-08-10,13271467,300000,117,16,Heavy rain
2018-06-15,1207989,1000,1,5,Heavy rain
2018-06-25,224236,0,3,16,Heavy rain
2018-07-03,207714,13,6,8,Heavy rain
2018-08-02,16424780,25000,0,8,Heavy rain
2018-09-01,17213562,1000,20,6,Heavy rain
